country,ref_year,pub_date,summary_path,pub_date_original
JPN,2015,2015-07-23,text/JPN_2015.txt,2016-07-01
JPN,2016,2016-08-02,text/JPN_2016.txt,2017-07-01
JPN,2017,2017-07-31,text/JPN_2017.txt,2018-07-01
JPN,2019,2020-02-10,text/JPN_2019.txt,2020-07-01
JPN,2022,2022-04-06,text/JPN_2022.txt,2023-07-01
JPN,2023,2023-03-30,text/JPN_2023.txt,2024-07-01
KAZ,2005,2005-07-21,text/KAZ_2005.txt,2006-07-01
KAZ,2006,2006-07-05,text/KAZ_2006.txt,2007-07-01
KAZ,2007,2007-07-10,text/KAZ_2007.txt,2008-07-01
KAZ,2008,2008-08-18,text/KAZ_2008.txt,2009-07-01
KAZ,2009,2009-10-06,text/KAZ_2009.txt,2010-07-01
KAZ,2010,2010-07-30,text/KAZ_2010.txt,2011-07-01
KAZ,2011,2011-06-28,text/KAZ_2011.txt,2012-07-01
KAZ,2012,2012-07-05,text/KAZ_2012.txt,2013-07-01
KAZ,2013,2013-09-19,text/KAZ_2013.txt,2014-07-01
KAZ,2014,2014-08-05,text/KAZ_2014.txt,2015-07-01
KAZ,2015,2015-09-03,text/KAZ_2015.txt,2016-07-01
KAZ,2017,2017-05-09,text/KAZ_2017.txt,2018-07-01
KAZ,2018,2018-09-14,text/KAZ_2018.txt,2019-07-01
KAZ,2019,2020-01-29,text/KAZ_2019.txt,2020-07-01
KAZ,2021,2022-04-11,text/KAZ_2021.txt,2022-07-01
KAZ,2022,2022-12-14,text/KAZ_2022.txt,2023-07-01
KAZ,2023,2024-02-07,text/KAZ_2023.txt,2024-07-01
KGZ,2006,2007-03-29,text/KGZ_2006.txt,2007-07-01
KGZ,2009,2009-07-15,text/KGZ_2009.txt,2010-07-01
KGZ,2011,2011-06-28,text/KGZ_2011.txt,2012-07-01
KGZ,2013,2013-06-25,text/KGZ_2013.txt,2014-07-01
KGZ,2015,2016-02-22,text/KGZ_2015.txt,2016-07-01
KGZ,2019,2019-07-03,text/KGZ_2019.txt,2020-07-01
KGZ,2021,2021-08-02,text/KGZ_2021.txt,2022-07-01
KGZ,2022,2023-02-16,text/KGZ_2022.txt,2023-07-01
KGZ,2023,2024-03-04,text/KGZ_2023.txt,2024-07-01
MDA,2006,2006-05-24,text/MDA_2006.txt,2007-07-01
MDA,2007,2008-04-25,text/MDA_2007.txt,2008-07-01
MDA,2010,2010-07-29,text/MDA_2010.txt,2011-07-01
MDA,2012,2012-10-22,text/MDA_2012.txt,2013-07-01
MDA,2014,2014-07-08,text/MDA_2014.txt,2015-07-01
MDA,2015,2016-01-20,text/MDA_2015.txt,2016-07-01
MDA,2020,2020-03-18,text/MDA_2020.txt,2021-07-01
MDA,2021,2022-01-04,text/MDA_2021.txt,2022-07-01
MDA,2023,2023-12-19,text/MDA_2023.txt,2024-07-01
MKD,2006,2006-10-05,text/MKD_2006.txt,2007-07-01
MKD,2008,2009-02-18,text/MKD_2008.txt,2009-07-01
MKD,2009,2010-01-21,text/MKD_2009.txt,2010-07-01
MKD,2010,2011-02-04,text/MKD_2010.txt,2011-07-01
MKD,2011,2012-06-08,text/MKD_2011.txt,2012-07-01
MKD,2013,2013-06-26,text/MKD_2013.txt,2014-07-01
MKD,2014,2014-07-25,text/MKD_2014.txt,2015-07-01
MKD,2015,2015-09-03,text/MKD_2015.txt,2016-07-01
MKD,2016,2016-11-21,text/MKD_2016.txt,2017-07-01
MKD,2017,2017-11-22,text/MKD_2017.txt,2018-07-01
MKD,2018,2019-01-29,text/MKD_2018.txt,2019-07-01
MKD,2019,2020-01-27,text/MKD_2019.txt,2020-07-01
MKD,2021,2022-02-16,text/MKD_2021.txt,2022-07-01
MKD,2023,2024-01-26,text/MKD_2023.txt,2024-07-01
MNG,2005,2005-11-15,text/MNG_2005.txt,2006-07-01
MNG,2006,2007-01-31,text/MNG_2006.txt,2007-07-01
MNG,2008,2008-07-01,text/MNG_2008.txt,2009-07-01
MNG,2009,2010-02-24,text/MNG_2009.txt,2010-07-01
MNG,2011,2011-03-30,text/MNG_2011.txt,2012-07-01
MNG,2012,2012-11-29,text/MNG_2012.txt,2013-07-01
MNG,2013,2014-03-06,text/MNG_2013.txt,2014-07-01
MNG,2015,2015-04-30,text/MNG_2015.txt,2016-07-01
MNG,2017,2017-05-31,text/MNG_2017.txt,2018-07-01
MNG,2019,2019-09-17,text/MNG_2019.txt,2020-07-01
MNG,2021,2021-11-29,text/MNG_2021.txt,2022-07-01
MNG,2023,2023-10-04,text/MNG_2023.txt,2024-07-01
ROU,2006,2006-05-09,text/ROU_2006.txt,2007-07-01
ROU,2007,2007-06-25,text/ROU_2007.txt,2008-07-01
ROU,2008,2008-07-02,text/ROU_2008.txt,2009-07-01
ROU,2010,2010-07-26,text/ROU_2010.txt,2011-07-01
ROU,2012,2012-10-23,text/ROU_2012.txt,2013-07-01
ROU,2015,2015-03-27,text/ROU_2015.txt,2016-07-01
ROU,2016,2016-05-11,text/ROU_2016.txt,2017-07-01
ROU,2017,2017-05-25,text/ROU_2017.txt,2018-07-01
ROU,2018,2018-06-06,text/ROU_2018.txt,2019-07-01
ROU,2019,2019-08-30,text/ROU_2019.txt,2020-07-01
ROU,2021,2021-08-27,text/ROU_2021.txt,2022-07-01
ROU,2022,2022-09-26,text/ROU_2022.txt,2023-07-01
ROU,2023,2023-12-08,text/ROU_2023.txt,2024-07-01
SRB,2005,2005-07-14,text/SRB_2005.txt,2006-07-01
SRB,2006,2006-10-27,text/SRB_2006.txt,2007-07-01
SRB,2007,2008-02-05,text/SRB_2007.txt,2008-07-01
SRB,2010,2010-04-09,text/SRB_2010.txt,2011-07-01
SRB,2013,2013-07-15,text/SRB_2013.txt,2014-07-01
SRB,2014,2015-02-26,text/SRB_2014.txt,2015-07-01
SRB,2017,2017-09-06,text/SRB_2017.txt,2018-07-01
SRB,2019,2019-07-22,text/SRB_2019.txt,2020-07-01
SRB,2021,2021-06-21,text/SRB_2021.txt,2022-07-01
SRB,2023,2023-07-05,text/SRB_2023.txt,2024-07-01
TJK,2006,2007-04-27,text/TJK_2006.txt,2007-07-01
TJK,2009,2009-06-03,text/TJK_2009.txt,2010-07-01
TJK,2011,2011-06-13,text/TJK_2011.txt,2012-07-01
TJK,2013,2021-09-03,text/TJK_2013.txt,2014-07-01
TJK,2015,2021-09-03,text/TJK_2015.txt,2016-07-01
TJK,2017,2021-09-03,text/TJK_2017.txt,2018-07-01
TJK,2019,2021-09-03,text/TJK_2019.txt,2020-07-01
TJK,2021,2022-02-18,text/TJK_2021.txt,2022-07-01
TJK,2022,2023-03-28,text/TJK_2022.txt,2023-07-01
TUR,2007,2007-11-16,text/TUR_2007.txt,2008-07-01
TUR,2010,2010-09-08,text/TUR_2010.txt,2011-07-01
TUR,2011,2012-01-27,text/TUR_2011.txt,2012-07-01
TUR,2012,2012-12-21,text/TUR_2012.txt,2013-07-01
TUR,2013,2013-12-20,text/TUR_2013.txt,2014-07-01
TUR,2014,2014-12-05,text/TUR_2014.txt,2015-07-01
TUR,2016,2016-04-22,text/TUR_2016.txt,2017-07-01
TUR,2017,2017-02-03,text/TUR_2017.txt,2018-07-01
TUR,2018,2018-04-30,text/TUR_2018.txt,2019-07-01
TUR,2019,2019-12-26,text/TUR_2019.txt,2020-07-01
TUR,2021,2021-06-11,text/TUR_2021.txt,2022-07-01
TUR,2022,2023-01-18,text/TUR_2022.txt,2023-07-01
UKR,2005,2005-11-28,text/UKR_2005.txt,2006-07-01
UKR,2006,2007-02-05,text/UKR_2006.txt,2007-07-01
UKR,2008,2008-07-09,text/UKR_2008.txt,2009-07-01
UKR,2012,2012-11-27,text/UKR_2012.txt,2013-07-01
UKR,2013,2014-06-11,text/UKR_2013.txt,2014-07-01
UKR,2016,2017-04-04,text/UKR_2016.txt,2017-07-01
UKR,2023,2023-12-11,text/UKR_2023.txt,2024-07-01
USA,2005,2005-07-29,text/USA_2005.txt,2006-07-01
USA,2006,2006-07-28,text/USA_2006.txt,2007-07-01
USA,2007,2007-08-01,text/USA_2007.txt,2008-07-01
USA,2008,2008-07-30,text/USA_2008.txt,2009-07-01
USA,2009,2009-07-31,text/USA_2009.txt,2010-07-01
USA,2010,2010-07-30,text/USA_2010.txt,2011-07-01
USA,2011,2011-07-25,text/USA_2011.txt,2012-07-01
USA,2012,2012-08-02,text/USA_2012.txt,2013-07-01
USA,2013,2013-07-26,text/USA_2013.txt,2014-07-01
USA,2014,2014-07-23,text/USA_2014.txt,2015-07-01
USA,2015,2015-07-07,text/USA_2015.txt,2016-07-01
USA,2016,2016-07-12,text/USA_2016.txt,2017-07-01
USA,2017,2017-07-26,text/USA_2017.txt,2018-07-01
USA,2018,2018-07-03,text/USA_2018.txt,2019-07-01
USA,2019,2019-06-24,text/USA_2019.txt,2020-07-01
USA,2020,2020-08-10,text/USA_2020.txt,2021-07-01
USA,2021,2021-07-22,text/USA_2021.txt,2022-07-01
USA,2022,2022-07-12,text/USA_2022.txt,2023-07-01
USA,2023,2023-06-15,text/USA_2023.txt,2024-07-01
UZB,2006,2007-03-29,text/UZB_2006.txt,2007-07-01
UZB,2008,2008-07-25,text/UZB_2008.txt,2009-07-01
UZB,2012,2013-09-05,text/UZB_2012.txt,2013-07-01
UZB,2018,2018-05-11,text/UZB_2018.txt,2019-07-01
UZB,2019,2019-05-09,text/UZB_2019.txt,2020-07-01
UZB,2021,2021-04-26,text/UZB_2021.txt,2022-07-01
UZB,2022,2022-06-22,text/UZB_2022.txt,2023-07-01
