country,ref_year,pub_date,summary_path
KGZ,2009,2010-07-01,text/KGZ_2009.txt
KGZ,2011,2012-07-01,text/KGZ_2011.txt
KGZ,2013,2014-07-01,text/KGZ_2013.txt
KGZ,2015,2016-07-01,text/KGZ_2015.txt
KGZ,2019,2020-07-01,text/KGZ_2019.txt
KGZ,2021,2022-07-01,text/KGZ_2021.txt
KGZ,2022,2023-07-01,text/KGZ_2022.txt
KGZ,2023,2024-07-01,text/KGZ_2023.txt
MDA,2006,2007-07-01,text/MDA_2006.txt
MDA,2007,2008-07-01,text/MDA_2007.txt
MDA,2010,2011-07-01,text/MDA_2010.txt
MDA,2012,2013-07-01,text/MDA_2012.txt
MDA,2014,2015-07-01,text/MDA_2014.txt
MDA,2015,2016-07-01,text/MDA_2015.txt
MDA,2020,2021-07-01,text/MDA_2020.txt
MDA,2021,2022-07-01,text/MDA_2021.txt
MDA,2023,2024-07-01,text/MDA_2023.txt
MKD,2006,2007-07-01,text/MKD_2006.txt
MKD,2008,2009-07-01,text/MKD_2008.txt
MKD,2009,2010-07-01,text/MKD_2009.txt
MKD,2010,2011-07-01,text/MKD_2010.txt
MKD,2011,2012-07-01,text/MKD_2011.txt
MKD,2013,2014-07-01,text/MKD_2013.txt
MKD,2014,2015-07-01,text/MKD_2014.txt
MKD,2015,2016-07-01,text/MKD_2015.txt
MKD,2016,2017-07-01,text/MKD_2016.txt
MKD,2017,2018-07-01,text/MKD_2017.txt
MKD,2018,2019-07-01,text/MKD_2018.txt
MKD,2019,2020-07-01,text/MKD_2019.txt
MKD,2021,2022-07-01,text/MKD_2021.txt
MKD,2023,2024-07-01,text/MKD_2023.txt
MNG,2005,2006-07-01,text/MNG_2005.txt
MNG,2006,2007-07-01,text/MNG_2006.txt
MNG,2008,2009-07-01,text/MNG_2008.txt
MNG,2009,2010-07-01,text/MNG_2009.txt
MNG,2011,2012-07-01,text/MNG_2011.txt
MNG,2012,2013-07-01,text/MNG_2012.txt
MNG,2013,2014-07-01,text/MNG_2013.txt
MNG,2015,2016-07-01,text/MNG_2015.txt
MNG,2017,2018-07-01,text/MNG_2017.txt
MNG,2019,2020-07-01,text/MNG_2019.txt
MNG,2021,2022-07-01,text/MNG_2021.txt
MNG,2023,2024-07-01,text/MNG_2023.txt
ROU,2006,2007-07-01,text/ROU_2006.txt
ROU,2007,2008-07-01,text/ROU_2007.txt
ROU,2008,2009-07-01,text/ROU_2008.txt
ROU,2010,2011-07-01,text/ROU_2010.txt
ROU,2012,2013-07-01,text/ROU_2012.txt
ROU,2015,2016-07-01,text/ROU_2015.txt
ROU,2016,2017-07-01,text/ROU_2016.txt
ROU,2017,2018-07-01,text/ROU_2017.txt
ROU,2018,2019-07-01,text/ROU_2018.txt
ROU,2019,2020-07-01,text/ROU_2019.txt
ROU,2021,2022-07-01,text/ROU_2021.txt
ROU,2022,2023-07-01,text/ROU_2022.txt
ROU,2023,2024-07-01,text/ROU_2023.txt
SRB,2005,2006-07-01,text/SRB_2005.txt
SRB,2006,2007-07-01,text/SRB_2006.txt
SRB,2007,2008-07-01,text/SRB_2007.txt
SRB,2010,2011-07-01,text/SRB_2010.txt
SRB,2013,2014-07-01,text/SRB_2013.txt
SRB,2014,2015-07-01,text/SRB_2014.txt
SRB,2017,2018-07-01,text/SRB_2017.txt
SRB,2019,2020-07-01,text/SRB_2019.txt
SRB,2021,2022-07-01,text/SRB_2021.txt
SRB,2023,2024-07-01,text/SRB_2023.txt
TJK,2006,2007-07-01,text/TJK_2006.txt
TJK,2009,2010-07-01,text/TJK_2009.txt
TJK,2011,2012-07-01,text/TJK_2011.txt
TJK,2013,2014-07-01,text/TJK_2013.txt
TJK,2015,2016-07-01,text/TJK_2015.txt
TJK,2017,2018-07-01,text/TJK_2017.txt
TJK,2019,2020-07-01,text/TJK_2019.txt
TJK,2021,2022-07-01,text/TJK_2021.txt
TJK,2022,2023-07-01,text/TJK_2022.txt
