year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,-0.1755154040442192,4.338673918443104,,-1.5218290157201468,12.732473123738144,2.816,
2006,3.102898741999809,5.552123331625423,,-10.095391360093434,16.691733420910566,2.962,
2007,8.542874775076072,10.23010326604841,,-5.985953625724787,18.51391468167895,3.094,
2008,8.401616048614287,24.52010242341016,,-13.87636731818293,23.799269500934734,3.207,
2009,2.886294575377306,6.83656248105368,,-4.314237658420186,20.937124757368267,3.343,
2010,-0.471566596791618,7.967722255796837,,-9.898338593552092,26.410093875891228,3.503,
2011,5.956274296935035,16.63632627314951,,-7.697302619333635,27.56951508116532,3.644,
2012,-0.0881501998439375,2.768442365409567,,-15.52523259241451,30.754432552720896,3.786,
2013,10.915469452804544,6.613752023580815,,-13.77541898924961,31.05640922906575,3.881,
2014,4.024038630832521,7.534247297758903,-0.0376579135200427,-17.424415660542905,30.032090727174783,4.02,53.8893270176244
2015,3.8758254451243914,6.503318389933836,-1.0468550445144524,-15.759247841118452,25.27189460407133,4.138,72.4565575830671
2016,4.335855921901157,0.388838296895799,-3.745041265405248,-11.62823331074896,29.276090333423593,4.294,60.4735108680683
2017,4.739937223778838,3.175309863799396,-2.702781484618429,-6.952696226273143,32.27051726926644,4.425,60.9182286766387
2018,3.757910135571649,1.542661452384359,-0.2873729156480248,-11.627556044007562,32.50556873368985,4.559,51.6567858407378
2019,4.60062565707598,1.133622577188036,0.4094033288522957,-11.384079890883369,28.78590498509869,5.45,51.3325378370411
2020,-7.1489775772795525,6.325422963380776,-2.5975011763536195,4.525221279337284,31.80698267218478,5.945,67.9562222931595
2021,5.507007626719229,11.90503981851468,0.3702373494020534,-7.975837422816094,32.563535606405566,5.149,56.3623694600643
2022,8.96750520041391,13.92290931741758,0.3285738665676017,-42.68363396177095,26.577560638627457,4.767,47.085480540382
2023,9.013292833934202,10.75327704167424,2.5556926814272756,,18.773661768123983,3.498,40.54198900827
