year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,9.40000151584914,10.33887944579325,0.2248171502956179,1.5180357692289992,0.657396214062099,8.759,6.57022058767027
2006,9.99999473022963,6.997129035355846,1.4685834205911663,-3.7549482432790446,0.7256121614290942,8.066,6.64440183178372
2007,8.600006598114263,8.426752735053093,0.4315087104141087,-6.653677804730701,0.636765248499207,7.41,8.9092608163614
2008,10.199999486093716,14.83787648282542,2.3726215895117373,-8.162021530031405,0.960131319014907,6.728,10.6566343685377
2009,0.199995231733979,12.94565634104014,0.2127680090195529,-12.05468486107172,0.9903059441359184,6.1,18.5574619839498
2010,7.750017075008955,7.735748043125003,-1.447922920022667,-14.46780439360857,1.0052085538565505,6.052,18.9052457267088
2011,5.549974716380774,53.2286983118174,1.6697749353122102,-8.180545842894107,1.4419780559488355,6.024,39.416810851275
2012,1.707852533688282,59.21973602325183,0.0855708016209147,-2.835007621206585,1.6032362398736195,5.962,24.4293134230567
2013,0.9987192996611612,18.3122610377873,-0.8292642560592584,-10.01925668398966,1.6066982921281638,5.942,23.8372955552391
2014,1.651124702280967,18.11955435267341,0.4228909991366265,-6.633036954789971,1.5623043408062645,5.908,24.5487262666937
2015,-3.82957056812593,13.53448976497349,2.253663552397675,-3.2434814720440235,1.6499934417612498,5.881,37.5981780519834
2016,-2.526446446042499,11.83658076534964,1.5397845885686,-3.3773685277359218,2.0463693412252892,5.844,38.9240984107258
2017,2.532183494719092,6.031837251777853,2.3088682786089976,-1.740325150499023,2.291074835883731,5.648,39.8801045313301
2018,3.1491975827529615,4.872302205506899,4.135088924351515,0.0381469405173492,2.408421248907576,4.763,37.0957369908527
2019,1.4464554820430493,5.598155950398538,2.440596914172643,-1.9341665879177856,2.202757709855335,4.165,33.2442039424903
2020,-0.6727429185858682,5.548143574565106,-1.3071591448883522,-0.2906878536582694,1.6517392222723897,4.049,
2021,2.438862102349475,9.460283896231058,-0.3116272663798415,3.0672484923843992,1.650493509274727,3.9,
2022,-4.6583959132899935,15.20967527408096,-1.6356386226973123,3.561776638966495,2.015529331869672,3.574,
2023,4.1265400715388125,5.000599030913127,1.329146090040327,-1.407027725581945,1.739285845311422,3.461,
