year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,7.25366543796015,12.7165674066053,,3.46785355038079,7.01210601990436,7.015,
2006,8.55623481664365,5.09516661663157,,10.900689191107,4.54567633520099,7.193,
2007,10.2480163590057,9.63096309630964,,4.05637184446513,4.2037712502324,7.2,
2008,8.90036794067551,27.9556650246306,,-12.2837567825614,3.99407070425828,5.565,
2009,-1.26859893608282,7.6195059351941,,-7.45624740801022,4.35482570972523,5.86,
2010,6.3651616786311,10.0462065881651,,-12.3162160595433,3.70322313329864,6.549,
2011,17.2907775869555,8.41121495327101,,-43.34551932851,2.39815062443905,4.769,
2012,12.3198198494032,14.3303348325838,,-43.7712346792978,2.63436473976603,3.905,
2013,11.6489161878925,10.4906567588241,,-37.6076656283991,2.043651376089,4.231,
2014,7.88522548204762,12.2539808129759,,-15.8208781709903,2.08662757904284,4.798,
2015,2.37983580731722,5.73568281938327,,-8.16234225533352,2.24538022008169,4.861,
2016,1.48978448679577,0.733272227314397,,-6.25748206242188,2.3241947000485,7.235,
2017,5.63687638694772,4.30143105302342,,-10.0640976839598,2.38105237776487,6.359,
2018,7.74488062024881,6.82424790145522,,-14.4368935873351,3.34307917505255,5.377,65.9653147370968
2019,5.60224422064255,7.30106953550729,,-15.2163324376399,3.9484460422474,9.024,60.8440397174621
2020,-4.55775197583431,3.7237230614026,,-5.06732429872456,4.12254263505693,6.413,73.9367835152858
2021,1.63676957736662,7.35894657888155,,-13.7928750935516,3.08222219088585,7.871,67.5710143237735
2022,5.0327096366527,15.1509728200805,,-13.4342448059604,2.32831928767738,5.954,
2023,7.4221127615025,10.347583131434,,0.596631968292985,2.23995468059518,5.178,
