year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,7.056348734692037,5.038838071119025,1.9933113896094288,-11.20572225050318,5.400016414106758,10.083,
2006,6.802589436031738,7.261594627699442,2.4772220551258015,-17.05392699726424,4.992464212366662,8.951,
2007,6.654387924226086,8.402534190059013,0.0929214517014453,-25.74090199741998,3.811625600029996,6.878,
2008,6.129558415792076,12.34871959940208,1.7879928121728033,-21.797330672988583,3.5217074877996857,5.609,
2009,-3.3471414973769527,2.753202239148161,-3.6007751416291,-8.181502316663067,3.059743021459925,6.817,
2010,1.5553597991101498,2.43899060504113,-3.6521400559256816,-1.9030145044976008,2.6295816624058146,10.279,
2011,2.0901750775860393,4.219903466018731,-1.7238549325967176,0.4724061923630305,2.5713535926122915,11.26,
2012,0.748815411928831,2.954568298310217,-1.0541749611956648,-0.9735703514405386,2.668432164494661,12.27,
2013,-0.5427513888611344,0.8900935409130024,-1.1094978989506612,1.2157810245538354,2.986352612121687,12.941,
2014,0.949449090947894,-1.418183802648398,-5.34167973812899,2.1924848163029744,3.009588303483751,11.424,
2015,3.3975533678041216,-0.1046332610083854,-0.9271934231318024,0.0183981701477746,3.0017579810588173,9.143,
2016,3.026628412295167,-0.7986498864537102,0.2430009053330665,3.1022597912296055,3.020875606703884,7.575,
2017,2.7459267605486133,2.061596194431414,1.3899091949690157,3.2464532304564204,3.5147924445541197,6.164,
2018,2.3301521340704454,2.814544738248287,1.5953307108785613,0.574532429686938,3.2106944875129058,5.211,
2019,3.7933176535415214,3.103729447967807,2.2810542970965564,1.657929663635187,3.1173853779615315,4.148,
2020,-3.133233030764188,1.672440968557562,-4.07343578123514,0.3631881690760857,2.816765430828573,5.037,
2021,7.828172328221655,3.297744352995149,-4.02052146509548,-1.034114369907439,2.3826124031406635,5.166,
2022,4.083864091512297,15.32525892643664,-3.1471130196338266,-2.6843478720356035,2.3115002945841057,4.148,
2023,1.681510749729043,9.44284140088564,-1.8899793377728975,-0.875603454034738,2.2372183910042978,4.319,
