year,gdp_growth,inflation,fiscal_balance,current_account,remittances,unemployment,govt_debt
2005,4.724088642019737,0.5255159507142821,2.3223847377345215,-2.545334909746624,3.62011272498295,37.32,
2006,5.13702516153505,3.213629296063463,-0.1441416964221717,-0.416080626106531,3.884967005246049,36.392,
2007,6.4734868575234685,2.251757983054569,0.2523327511672374,-7.266232404890137,4.138562462998106,35.231,
2008,5.4720013901559525,8.33189666968095,-0.964593024657138,-12.470753660364249,4.103373524558687,33.93,
2009,-0.3586148569796705,-0.7396339630611529,-2.684855121050017,-6.483540768153409,4.054076072084627,32.351,
2010,3.358750857738116,1.509975220276214,-2.5310087446489336,-2.1079125444793587,4.123781580933405,33.135,
2011,2.339886045203315,3.9047542206973,-2.6416134911436364,-2.4936755194588427,4.13663540983114,31.502,
2012,-0.4561832236079368,3.316055666876469,-3.932693811696089,-3.274784237188936,4.0445665010196,31.096,
2013,2.9252576645048407,2.785000567261184,-3.95433714890285,-1.637640338821678,3.476414906504735,29.017,
2014,3.6291235127637265,-0.281705032928494,-4.33408117604917,-0.4817131371576827,3.3739161907549433,28.215,
2015,3.8558651404173783,-0.2999204756315524,-3.566383176433123,-1.7122269453035497,3.2480595618657753,26.395,
2016,2.8482051936330635,-0.23929078768441,-2.7729816760396435,-2.6638992194031097,2.9635812584669763,24.312,
2017,1.081772738132429,1.351618896774421,-2.772631932063432,-0.5862946961973471,3.0506485888404185,22.857,
2018,2.880596709642674,1.458312985071173,-1.7550439339787374,0.1432733987798836,2.989733474460303,21.208,
2019,3.910419538401726,0.7664395734597165,-1.9662453979670356,-2.9864891049782236,2.8130696589450586,17.414,
2020,-4.688450009566523,1.200073488884866,-8.01695527133636,-2.915965376626118,3.802947538111766,16.575,
2021,4.510679490382216,3.230749121329191,-5.304738534090987,-2.6774422353863634,3.497385174828872,15.801,
2022,2.7588841533296744,14.20471731958329,-4.270862427152107,-6.236991710366034,3.2769542452867393,14.476,
2023,2.5549652534029974,9.361872497690156,-4.583666336177929,0.3175850464683752,2.9167769810412993,13.174,
