country_code,year,country,current_account,remittances,inflation,govt_debt,fiscal_balance,gdp_growth,unemployment
ALB,2005,Albania,-6.921388004201018,15.620173160919803,2.366581956797953,,,5.130821930561893,15.966
ALB,2006,Albania,-7.331863746315827,14.856708869986276,2.370728319042818,,,6.018981240386395,15.626
ALB,2007,Albania,-10.351888422448653,13.20525505481578,2.932682481623228,,,6.50009261158209,15.966
ALB,2008,Albania,-15.183958165083704,14.070827519136934,3.32087090389265,,,6.907062307137068,13.06
ALB,2009,Albania,-15.017238510634478,13.92478903075591,2.266922094508307,,,2.690751523621458,13.674
ALB,2010,Albania,-11.215764368325855,13.126780127608798,3.627100915174796,,,2.9731544268124708,14.086
ALB,2011,Albania,-12.850365966177591,11.963216583923996,3.428071301415031,69.1921886031503,-3.875979462118713,2.463516839157137,13.481
ALB,2012,Albania,-10.261256893074416,11.593292325551529,2.031592683952962,64.0504160397904,-3.9303033643572736,0.984129880204108,13.376
ALB,2013,Albania,-9.259141666458978,10.016797120489224,1.937620802052232,70.4662619818776,-5.317164584324201,1.7072283175405971,15.866
ALB,2014,Albania,-10.720149657780777,10.6872215602712,1.625865044026045,72.9442880579616,-3.1279124265342184,2.240226953826422,18.055
ALB,2015,Albania,-8.542375076698196,11.254090414410364,1.896174025923657,79.2842872907886,-3.0063649606856178,2.2277040745779004,17.193
ALB,2016,Albania,-7.510116900166494,10.893696292584456,1.275431683674233,79.8771647108445,-2.5039526307858697,3.9089355136224526,15.418
ALB,2017,Albania,-7.4084932966326384,9.894372244079245,1.986661331711943,74.5233409147154,-1.4402593687909977,3.2831759333007255,13.616
ALB,2018,Albania,-6.607664811050684,9.481512832446688,2.028059630711346,63.6337689393506,-1.2512870948521613,3.6714192809890847,12.304
ALB,2019,Albania,-7.820643554735359,9.450123156537446,1.411090789542507,74.8082518103115,-1.4189987133162627,2.062577901761216,11.466
ALB,2020,Albania,-8.62504716716646,9.618418007469618,1.620886617170039,83.4542023899143,-6.041902593116107,-3.313756368889159,11.639
ALB,2021,Albania,-7.595916434320518,9.529485980248973,2.041471631395451,81.9202285649265,-0.1595861887477668,8.969576190740952,11.474
ALB,2022,Albania,-5.872435033315154,9.177170252311123,6.725202715300596,,-6.116767573060803,4.826800623435901,10.785
ALB,2023,Albania,-1.1992167505418097,8.667780189060394,4.758345551500386,,-1.404698024002289,4.01541716935742,10.669
ARM,2005,Armenia,-2.5283241456215095,18.67639742901172,0.6389280024100973,,-1.004318586421597,13.899999999113264,10.584
ARM,2006,Armenia,-2.395372897456152,18.312817614090328,2.892356624590039,,-0.3004227974220818,13.199999999466144,10.497
ARM,2007,Armenia,-7.356601337828482,17.86140864212004,4.407360896445163,,-0.5668836821735382,13.700000001546698,10.394
ARM,2008,Armenia,-14.224647936054332,16.327049178754464,8.949953353533871,,-0.5427495549891492,6.900000000429586,17.1
ARM,2009,Armenia,-16.48371164054829,16.649164050982133,3.406766826838013,,-7.600815367461249,-14.10000000069978,19.295
ARM,2010,Armenia,-13.621948298573288,18.026839162061258,8.176361384739518,,-4.967661773109419,2.2000000002150983,19.523
ARM,2011,Armenia,-10.440328193447318,17.734222648798145,7.650008078592943,,-2.7644068114691756,4.699999998674116,18.884
ARM,2012,Armenia,-9.962331642149692,18.033017871767925,2.558020077579073,,-1.304359902078081,7.200000000964863,17.511
ARM,2013,Armenia,-7.31624657065382,19.711377394197875,5.789667785446507,,-1.5679277816662438,3.299999999999997,16.576
ARM,2014,Armenia,-7.767866332401228,17.90443983837634,2.981308689336724,,-1.7705554347827663,3.6000000005899295,17.498
ARM,2015,Armenia,-2.661807055847573,14.132741427705378,3.731691192616935,,-4.7003688531513355,3.1999999989662484,18.261
ARM,2016,Armenia,-0.9565779686602256,13.107462825506229,-1.403607559008996,,-5.481541315891807,0.1999999998259909,17.617
ARM,2017,Armenia,-1.2607240201469878,13.347744638399917,0.9695532688161378,,-4.058817429073012,7.500000001641439,17.704
ARM,2018,Armenia,-7.228123023795499,11.942703408285306,2.520233820016377,,-1.8476974008727756,5.199999999653244,18.966
ARM,2019,Armenia,-7.056865730000434,11.218921077229837,1.443446607706982,50.028420686875,-0.5333703207138613,7.599999998539175,18.304
ARM,2020,Armenia,-3.99777390668492,10.497055254126495,1.211435778384646,63.4012140048923,-5.2025601293038815,-7.199999999206312,18.175
ARM,2021,Armenia,-3.3962941866584946,11.217182745210694,7.184836294433707,60.080359762005,-4.429751118520957,5.800000000656453,15.469
ARM,2022,Armenia,0.7378672805096023,10.868833517411309,8.640911089738546,46.5518225515757,-1.9767504115239456,12.599999999776628,13.451
ARM,2023,Armenia,-2.7702659412112576,6.396210986175528,1.980418776155536,48.0562986773694,-1.894531232889478,8.299999999595386,12.405
AZE,2005,Azerbaijan,1.2631911728089438,4.705286140427231,9.679507319170568,,,27.961538108213137,7.26
AZE,2006,Azerbaijan,17.670467343915032,3.766164594584503,8.328924828632097,,,34.46620962267917,6.62
AZE,2007,Azerbaijan,27.289087539852964,3.835876762186844,16.69975496182445,,,25.4632157314482,6.33
AZE,2008,Azerbaijan,33.6793638921001,3.1080589322125114,20.84908717727123,4.57653797474662,19.566387291589844,10.591437462476035,5.86
AZE,2009,Azerbaijan,22.972044312481216,2.8326399787508953,1.457048359703213,6.29501240116287,7.570467536480205,9.369502602771831,5.74
AZE,2010,Azerbaijan,28.426831351936887,2.6654976324031554,5.72687224669605,6.38557579182856,15.44636759684446,4.788832487615565,5.63
AZE,2011,Azerbaijan,25.99576656121117,2.870355925041281,7.8583333333334,,12.85626512038708,-1.5729973511110984,5.42
AZE,2012,Azerbaijan,21.49253577418954,2.856173342503338,1.066213397203028,,5.9727420689504,2.2029389170839835,5.19
AZE,2013,Azerbaijan,16.49358766923963,2.3370481521570245,2.415717452794191,,4.877453507957787,5.843415904839276,4.97
AZE,2014,Azerbaijan,13.568357403808582,2.454052718126685,1.37344181533176,,4.622793535782126,2.7975852144855935,4.91
AZE,2015,Azerbaijan,-0.4191989098565649,2.392716799735197,4.027685737427259,,-2.723611621919823,1.0495464121508462,4.96
AZE,2016,Azerbaijan,-3.600507334171835,1.6984394141119932,12.44337485843723,,2.4759380324765163,-3.0635984225170603,5.0
AZE,2017,Azerbaijan,4.122089609918138,2.7733411672031254,12.93591841873347,,1.8654891111180616,0.1536146617455074,5.0
AZE,2018,Azerbaijan,12.68237692452118,2.6018376847000946,2.268546903739991,,9.507773560405534,1.5004016716731314,4.9
AZE,2019,Azerbaijan,8.704556201875638,2.6469932465702586,2.610571827992152,,6.31860818939096,2.479808791855646,5.0
AZE,2020,Azerbaijan,-0.7408742807954465,3.286456796196098,2.759809470081272,,-5.264451673438682,-4.19896065333343,7.24
AZE,2021,Azerbaijan,14.962000399868211,2.784540874133077,6.650299127087786,,4.814005313122297,5.616440271505539,6.04
AZE,2022,Azerbaijan,29.791694651223715,5.012251973723004,13.8522590144267,,10.999227656082171,4.71468033247649,5.65
AZE,2023,Azerbaijan,11.500129620786106,2.6409697519012676,8.785430498490808,,5.7951346561800525,1.3544774911576667,5.64
